model,target,seeds,heldout_all_error_mean,heldout_all_error_std,late_lag_error_mean,late_lag_error_std,inferred_alpha_mean,parameter_count
MSD power law,MSD,5,0.019060529185291816,0.0138828468,0.019649285320474493,0.015110083671832381,0.9113398134706614,2
Stretched exponential,scattering,5,0.02385115058439425,0.007402940971487937,0.06741991095347122,0.027927396570254323,0.887156961137187,2
Direct MLSL inverse,scattering,5,0.014126867575003333,0.008032209506856324,0.03658025456286266,0.018912550551470345,0.9134089458892772,2
Pure MLP,scattering,5,0.053463493329676204,0.017025279836908814,0.16520424731123154,0.05552960655363654,,1153
MLSL + residual MLP,scattering,5,0.01619395753293894,0.0063417309153781624,0.04288039917038054,0.01511308142547966,0.9028487792153612,323
