alpha,max_absolute_error,relative_l2_error,embedded_relative_disagreement,converged
0.55,3.867952577557995e-15,1.3883238206077224e-15,0.0,True
0.8,1.0471064498605925e-15,3.6984975909747995e-16,0.0,True
1.2,5.551115123125783e-16,2.9851253798621686e-16,0.0,True
1.8,4.002966042486721e-16,2.0529797263793484e-16,0.0,True
