alpha,z,has_reference,reference,series_value,hybrid_value,series_is_finite,hybrid_is_finite,series_relative_error,hybrid_relative_error
1.45,-40.0,False,nan,-0.007509719027439132,-0.009389015682425797,True,True,nan,nan
1.45,-80.0,False,nan,-0.003506898880004883,-0.004449396264102452,True,True,nan,nan
1.65,-0.0,True,1.0,1.0,1.0,True,True,0.0,0.0
1.65,-1.0,True,0.43096495971792415,0.43096495971792415,0.43096495971792415,True,True,0.0,0.0
1.65,-2.0,True,0.03908258723484016,0.03908258723483997,0.03908258723483997,True,True,4.971242772182786e-15,4.971242772182786e-15
1.65,-4.0,True,-0.36809348189109037,-0.36809348189109115,-0.36809348189109115,True,True,2.111300947913961e-15,2.111300947913961e-15
1.65,-6.0,True,-0.4626416859973643,-0.46264168599736544,-0.46264168599736544,True,True,2.3997470574484323e-15,2.3997470574484323e-15
1.65,-8.0,True,-0.399272306591722,-0.3992723065917243,-0.3992723065917243,True,True,5.700263110932116e-15,5.700263110932116e-15
1.65,-10.0,False,nan,-0.27295565261914057,-0.28356933980995735,True,True,nan,nan
1.65,-20.0,False,nan,0.1331960602361022,0.12884834013961166,True,True,nan,nan
1.65,-40.0,False,nan,-0.053346030708098624,-0.055205321501766394,True,True,nan,nan
1.65,-80.0,False,nan,0.004197071015369147,0.003356404700366281,True,True,nan,nan
