alpha,threshold,max_abs_error_on_reference_points,tail_z_minus_80
0.65,4.0,0.0017486491199554532,0.004954108358012542
0.65,6.0,0.0009331032617392321,0.004954108358012542
0.65,8.0,5.941712984194186e-05,0.004954108358012542
0.65,10.0,5.941712984194186e-05,0.004954108358012542
1.35,4.0,0.011029649996838115,-0.004004227631689822
1.35,6.0,0.007351117677653285,-0.004004227631689822
1.35,8.0,1.647293412787576e-14,-0.004004227631689822
1.35,10.0,1.647293412787576e-14,-0.004004227631689822
