seed,alpha_true,alpha_est,alpha_relative_error,solution_relative_error
0,0.65,0.6865465836006478,0.056225513231765806,0.028949143147499214
1,0.65,0.6782696178920007,0.04349171983384718,0.02814238684740757
2,0.65,0.6918222891686411,0.06434198333637085,0.031232741740787353
