seed,alpha_true,alpha_est,alpha_relative_error,solution_relative_error,residual_rms,num_points,num_time_steps,sensor_times,sensor_points
0,0.65,0.8325039226692854,0.28077526564505445,0.6007913834270214,2.34309835078181,32,24,6,8
1,0.65,0.8798241257986803,0.3535755781518158,0.6225880946808615,2.4906519930799362,32,24,6,8
2,0.65,0.8760445632942327,0.3477608666065119,0.6630276182225129,2.496564236709631,32,24,6,8
