method,alpha,threshold,cases,finite_value_rate,finite_grad_rate,max_adjacent_value_jump,mean_adjacent_value_jump,max_adjacent_grad_jump,mean_adjacent_grad_jump
hard,0.55,4.0,41,1.0,1.0,0.0026402036797890105,0.0016654979198728625,0.03484500603633306,0.0014435301871813765
smooth,0.55,4.0,41,1.0,1.0,0.0026402036797890105,0.0016654979198728625,0.0028408857605610183,0.0014435301871813765
hard,0.65,8.0,41,1.0,1.0,0.0012463550083339214,0.0007441136996559504,0.00537109375,0.0014084141816743695
smooth,0.65,8.0,41,1.0,1.0,0.0012463550083339214,0.0007299787297614857,0.026560986271033066,0.003995461661001584
hard,1.25,8.0,41,1.0,1.0,0.001713325209994565,0.0013454929770737724,0.03497950965182345,0.010449611678595322
smooth,1.25,8.0,41,1.0,1.0,0.001713325209994565,0.0012922997564888922,0.011024595021396522,0.00870063619600415
