num_steps,direct_seconds,fft_seconds,measured_speedup,relative_error_fft_vs_direct
128,0.0015497999265789986,0.00014240003656595945,10.883423656012432,1.9886148414735256e-16
256,0.0029817000031471252,0.00014450005255639553,20.634594592852665,3.099349174027253e-16
512,0.005917800008319318,0.00016300007700920105,36.305504370929036,5.093508916145123e-16
1024,0.011940500000491738,0.00022309995256364346,53.52085405345609,4.9041705613134e-16
2048,0.025278200046159327,0.0003244999097660184,77.89894322123617,4.639418944627777e-16
