alpha_error_max,alpha_error_mean,model,seeds,solution_error_max,solution_error_mean
2.2760606561871118e-08,2.2760606561871118e-08,MLSL direct inverse,3,6.160148398109403e-05,6.160148398109403e-05
0.3535755781518158,0.3273705701344607,PDE-field fPINN,3,0.6630276182225129,0.6288023654434652
