seed,alpha_true,alpha_est,alpha_relative_error,beta_true,beta_est,beta_relative_error,final_loss
0,1.42,1.420048230962324,3.3965466425338535e-05,1.45,1.4500953818887017,6.578061289774401e-05,1.0195623401977928e-09
1,1.42,1.4199975305618011,1.7390409850813451e-06,1.45,1.4500048344322027,3.334091174332882e-06,1.134218739915365e-09
2,1.42,1.4200119963367752,8.448124489639747e-06,1.45,1.450042498122488,2.930904999173907e-05,1.0577020769629128e-09
3,1.42,1.4199797480983847,1.4261902545953231e-05,1.45,1.4499772793334307,1.566942522019024e-05,1.0560425463010073e-09
4,1.42,1.4200076533288726,5.389668220174431e-06,1.45,1.4500103189893494,7.116544378927492e-06,9.640804586179953e-10
