alpha,z,reference,series,hybrid,series_abs_error,hybrid_abs_error
0.65,-8.0,0.052490523697224754,0.05243110656738281,0.05243110656738281,5.941712984194186e-05,5.941712984194186e-05
0.65,-6.0,0.0712707057159733,0.07127070147544146,0.07127070147544146,4.240531842336637e-09,4.240531842336637e-09
0.65,-4.0,0.10996863817907933,0.10996863817945268,0.10996863817945268,3.7335412539363233e-13,3.7335412539363233e-13
0.65,-2.0,0.22494106594529703,0.22494106594529484,0.22494106594529484,2.192690473634684e-15,2.192690473634684e-15
0.65,-1.0,0.40637512830211736,0.4063751283021175,0.4063751283021175,1.6653345369377348e-16,1.6653345369377348e-16
0.65,0.0,1.0,1.0,1.0,0.0,0.0
1.35,-8.0,-0.09337228432353002,-0.0933722843235465,-0.0933722843235465,1.647293412787576e-14,1.647293412787576e-14
1.35,-6.0,-0.14926809787623369,-0.1492680978762344,-0.1492680978762344,7.216449660063518e-16,7.216449660063518e-16
1.35,-4.0,-0.1649072423941306,-0.16490724239412957,-0.16490724239412957,1.0269562977782698e-15,1.0269562977782698e-15
1.35,-2.0,0.044714115339060084,0.044714115339060556,0.044714115339060556,4.718447854656915e-16,4.718447854656915e-16
1.35,-1.0,0.3737638670449045,0.37376386704490444,0.37376386704490444,5.551115123125783e-17,5.551115123125783e-17
1.35,0.0,1.0,1.0,1.0,0.0,0.0
