krylov_dimension,relative_error_vs_full_eigh,embedded_relative_disagreement,effective_dimension,finite
4,2.1753067296107343e-05,0.008797872506685463,4,True
8,3.818353245107114e-11,0.008797970853944284,8,True
16,1.0968077248125114e-15,3.8183441797067354e-11,16,True
32,1.832321741106565e-15,2.1465882288294598e-15,32,True
