check,dtype,output_relative_error,alpha_grad_relative_error,beta_grad_relative_error,finite_gpu_output,finite_gpu_alpha_grad,finite_gpu_beta_grad
cpu_gpu_consistency,float64,4.335206850483278e-15,3.1843592503395463e-15,2.911442143954742e-15,True,True,True
cpu_gpu_consistency,float32,3.3605789440116496e-07,5.258282221734663e-07,5.43200510246346e-07,True,True,True
