num_steps,mlsl_seconds,l1_seconds,speedup_l1_over_mlsl,estimated_l1_history_kb,estimated_mlsl_state_kb
50,9.660003706812859e-05,0.007456700084730983,77.19148264375961,0.3984375,0.0234375
100,0.0002429999876767397,0.035821700002998114,147.4144107803468,0.7890625,0.0234375
200,0.0003027999773621559,0.1024627999868244,338.38443740792115,1.5703125,0.0234375
400,0.0005705999210476875,0.4101073001511395,718.7300331169605,3.1328125,0.0234375
800,0.0005828998982906342,1.6256193001754582,2788.8481451834527,6.2578125,0.0234375
