alpha,z,value,grad_auto,grad_fd,relative_error,finite_grad
0.65,-2.0,0.22494106594529484,-0.2177339852657596,-0.21773398569457925,1.9694658373640106e-09,True
0.65,-6.0,0.07127070147544146,-0.15564954280853271,-0.15561701729893684,0.00020900997950237143,True
0.65,-20.0,0.020347156385381426,-0.05443254881548405,-0.05443254894323471,2.346953426858987e-09,True
1.25,-2.0,0.06569964182160026,-0.24173241184192573,-0.24173240671360174,2.121487994684479e-08,True
1.25,-6.0,-0.08716002467486739,-0.5187484895434835,-0.5187485012925208,2.2648812033846698e-08,True
1.25,-20.0,-0.012803429585395761,-0.034755355321616804,-0.034755349211509565,1.758033620213569e-07,True
1.65,-2.0,0.03908258723483997,0.1529948014259448,0.1529948005477011,5.7403499781860134e-09,True
1.65,-6.0,-0.46264168599736544,-1.2201524057397517,-1.2201523774957312,2.3147945270350148e-08,True
1.65,-20.0,0.12884834013961166,0.9242866997239527,0.9242865483581608,1.6376500574354927e-07,True
