noise_level,alpha_relative_error,beta_relative_error,final_loss
0.0,8.174057244274623e-11,1.8519802975131622e-10,7.823351178474311e-24
0.0001,7.004330931684298e-07,3.837419665191848e-05,1.0482124281207556e-09
0.001,0.00026077110791270235,0.0007067650827713228,1.049973796963456e-07
0.01,0.0018098569511193648,0.0018281648871674736,1.1600322511518167e-05
0.05,0.025805278081877336,0.05074822818381173,0.00026395567488676503
