num_sensors,num_times,alpha_relative_error,beta_relative_error,final_loss
4,4,0.00041763840006427355,0.0004435856997060312,1.1954498871770701e-09
8,4,4.631283147674901e-05,0.00015641600380321983,8.095971324372833e-10
8,6,1.8822988130963992e-05,4.790391516022678e-05,7.201088458254604e-10
16,6,8.584703016701101e-05,0.00014193321861350123,1.158812153314478e-09
