seed,lag_frames,train_scattering,test_scattering,train_msd,test_msd,test_displacement_count
0,1,0.9167389392508719,0.9159696678756363,5.973076161505683,6.028850266884752,127117
0,2,0.849879542669886,0.848436866778265,11.209209823749116,11.326150377155438,126183
0,3,0.7911728639015871,0.7885595295546073,16.19097727659372,16.408321992438395,125249
0,4,0.7382973265344056,0.7347696030853234,21.03867453833145,21.34297468979636,124315
0,5,0.6911687171130998,0.6869780307074127,25.69338108297397,26.068855864782552,123381
0,6,0.6477786102673645,0.6424496369714627,30.318892143944424,30.788202644836193,122447
0,7,0.608184211075525,0.6014622697370177,34.854040389779556,35.45642690352362,121513
0,8,0.5715870998475547,0.5640677562178399,39.3259261581129,40.03153773717417,120579
0,9,0.5377612342802854,0.5292241289071038,43.78759160253153,44.62730294831922,119645
0,10,0.5065373505242279,0.49741848030391167,48.206391779931145,49.16205770278195,118711
0,11,0.4779797624973822,0.4676185657048372,52.581849185820545,53.70175735215357,117777
0,12,0.45117106542480245,0.4393210237362621,56.94917262896454,58.236567215393144,116843
0,13,0.4261129025898043,0.4127844617161221,61.27884047893316,62.74071387961827,115909
0,14,0.4025182144070408,0.3884866138945953,65.6000958281819,67.23085357854835,114975
0,15,0.3805312547681805,0.3659825711751802,69.91633903522713,71.66394516727823,114041
0,16,0.3599637144214223,0.3447674270855393,74.20942654977635,76.08462650209896,113107
0,17,0.3405542189602217,0.3251561239656342,78.50785282720919,80.53740115209408,112173
0,18,0.32270715633458263,0.307253056634277,82.75029771652645,84.91417760416745,111239
0,19,0.30602744271264726,0.29057394949714743,86.98355124530792,89.2370961683049,110305
0,20,0.28999308918838457,0.27508591627070006,91.23891211827166,93.5688436601232,109371
0,21,0.2754618535162429,0.260731206313294,95.44391375385325,97.86888347205941,108437
0,22,0.2618575131266282,0.2473315619057908,99.66448860012675,102.20933293604368,107503
0,23,0.24931147179011184,0.23510127628571123,103.8801234840457,106.54320117449026,106569
0,24,0.23751203388579314,0.22353583460357343,108.0600373424616,110.80699655016699,105635
0,25,0.22620474797003648,0.2128119933928755,112.23962017964882,115.07125001373592,104701
0,26,0.21565856431230845,0.20280629229899874,116.39785737490807,119.35202150337336,103767
0,27,0.20571253954597685,0.19370273870889632,120.52673496538685,123.57042640939348,102833
0,28,0.19619586728098498,0.18536058052761495,124.63313212547465,127.77238004240455,101899
0,29,0.187457599898168,0.17715086975961575,128.70133564690937,131.96676277727173,100965
0,30,0.1792235034121303,0.16888541153084555,132.72803096827653,136.1938155051538,100031
0,31,0.17181778635266495,0.16132838008529382,136.77118490684552,140.38622937236676,99097
0,32,0.16484399045161954,0.15462341670166926,140.76983811802742,144.5912012035412,98163
0,33,0.158286784113756,0.14803288626746253,144.78278771523952,148.79936971408833,97229
0,34,0.15210198013033416,0.14188520354508394,148.7525923763551,153.02927166043054,96295
0,35,0.1462588480092159,0.1356852450762733,152.70829249867606,157.30708657140397,95361
0,36,0.14061202667546926,0.13003450785867238,156.6399935922339,161.5967215801365,94427
0,37,0.13525287512250483,0.124511277898656,160.56825091546793,165.90052391376318,93493
0,38,0.13061391546747741,0.1193267960043731,164.48100802391164,170.15905692417698,92559
0,39,0.1261114705441944,0.11409642974616478,168.39121801235964,174.37348537163206,91625
0,40,0.12191371298419892,0.10945103044000683,172.30723083293609,178.54756735600668,90691
1,1,0.9164712362077132,0.9165927043305943,5.992538431878072,5.983556345957646,128321
1,2,0.8493036178234734,0.8497752148443642,11.25517834136616,11.219310701170054,127387
1,3,0.7899046530385253,0.7915011876257388,16.29443175524926,16.168316199616168,126453
1,4,0.7364170306390875,0.739127512486319,21.202067211346755,20.964305622752722,125519
1,5,0.6890094961432185,0.691983516229576,25.894603233337858,25.60253016616074,124585
1,6,0.6450823953708966,0.6487006328410412,30.565852136127475,30.2158252702841,123651
1,7,0.6050485349657894,0.6087369507166213,35.15007439633288,34.76995240319067,122717
1,8,0.5680559065977887,0.5722592037865715,39.67143654200631,39.230341521621014,121783
1,9,0.5337035599940573,0.5386354641902676,44.19650181880952,43.679085413508716,120849
1,10,0.5021080064466942,0.5076894214484959,48.67798978549391,48.06865022136521,119915
1,11,0.47308625622643974,0.47896822447352916,53.13365529245365,52.422426857129125,118981
1,12,0.4457121392747513,0.4519845097286645,57.59050241768652,56.749894446518354,118047
1,13,0.42030313384885454,0.42626863112800356,61.99287088316263,61.08529825656407,117113
1,14,0.3964570438166044,0.4025550498942023,66.40737293030959,65.35956965970277,116179
1,15,0.3743590103794431,0.38031099187475537,70.80676807628296,69.60054777211761,115245
1,16,0.3535237147536177,0.3597170445566945,75.18537396069566,73.82359714171486,114311
1,17,0.33395953778871706,0.3404625089280338,79.57399102578984,78.06775626235944,113377
1,18,0.31604747896082463,0.3227086715371692,83.89612679782464,82.26026679743217,112443
1,19,0.29929725800752566,0.30619079546655276,88.18554730576858,86.45343004599891,111509
1,20,0.28337044075659146,0.29044933043686844,92.50248288034199,90.64317497512505,110575
1,21,0.26896384910043586,0.2758059416437695,96.76117842207498,94.81912088131936,109641
1,22,0.25547451010331385,0.26213946725165427,101.04860220350014,99.00503379405403,108707
1,23,0.24313601334037965,0.2494288060168216,105.30959337917858,103.2337192450771,107773
1,24,0.2315480769570176,0.23737489561575212,109.5223155582409,107.42151471650969,106839
1,25,0.22056158997422937,0.22590800020145077,113.74463380466584,111.58699840105234,105905
1,26,0.21018087954376655,0.21551604578928246,117.93766063543505,115.78680414676823,104971
1,27,0.20061948252547515,0.20552021124233766,122.07954528000394,119.97457608361164,104037
1,28,0.1916529506505102,0.19590251297651867,126.20346610834194,124.13546577515517,103103
1,29,0.18319748266852867,0.18703783683005715,130.28725218479227,128.29286966696657,102169
1,30,0.17519843103870858,0.1782336061282508,134.34531214420244,132.4458778410393,101235
1,31,0.16778712820641725,0.1706908383667335,138.42264349268518,136.55839799365575,100301
1,32,0.16111508657080237,0.16329089572827582,142.45973045026264,140.67302898799065,99367
1,33,0.15465722592257158,0.15647292567594673,146.50244900054872,144.8108281923194,98433
1,34,0.14855473520345164,0.15013602565982978,150.52529004274217,148.91624941577194,97499
1,35,0.14261472469049688,0.1441621655755862,154.56734807295993,152.99248808869388,96565
1,36,0.13695823872178473,0.13853340237645842,158.61671546328694,157.00840825895835,95631
1,37,0.13148190373388238,0.1332803021519236,162.65881259290327,161.04704464237486,94697
1,38,0.12657523771311,0.12871529654934963,166.6772877417132,165.05938866915236,93763
1,39,0.12172506277160185,0.12428979612303212,170.6839270243736,169.04942956623117,92829
1,40,0.1172207605580821,0.12035124103483942,174.67379424411516,173.05138704633745,91895
2,1,0.9165963604674628,0.9163035842281823,5.983555688553388,6.004311290301696,127757
2,2,0.8497260694847383,0.8487994106067033,11.222583917799241,11.294601566082084,126823
2,3,0.7908627975372879,0.789290525290588,16.219636354816785,16.34087993858973,125889
2,4,0.7378668288418869,0.7357840882531436,21.081383711183882,21.2425627739723,124955
2,5,0.6907344943001599,0.6880046384698286,25.73971649672914,25.959677784544173,124021
2,6,0.647098578667426,0.6440511466719172,30.384966720228164,30.632845632354368,123087
2,7,0.6070946293975629,0.6040189671568726,34.96075147122259,35.20632305012372,122153
2,8,0.5703916553258008,0.5668737564776773,39.45206441377422,39.73592399003172,121219
2,9,0.5364221401831887,0.532368076948853,43.94030237734535,44.269478223017714,120285
2,10,0.5050115933695011,0.5009976073280851,48.404844572467155,48.697761916431936,119351
2,11,0.47600703594031074,0.47223868809870634,52.84478930027415,53.087363242157515,118417
2,12,0.4487878879929828,0.4448989794439585,57.27344114884441,57.47936960927959,117483
2,13,0.42316473913362107,0.41967769368206037,61.68015387609966,61.80432051242063,116549
2,14,0.39926738648764903,0.39608400083060186,66.07382885071375,66.12600193034434,115615
2,15,0.37700098622461414,0.3742293309793093,70.42841797821553,70.46974546320565,114681
2,16,0.35619896943744617,0.35356026117368267,74.76764317462914,74.78299818792529,113747
2,17,0.3367383340882645,0.3340684886004285,79.12060169668638,79.10878096451722,112813
2,18,0.3189358239026961,0.316062829757455,83.41282339794333,83.36968006617853,111879
2,19,0.30225059754059486,0.2993965961600197,87.6717906891053,87.63262518413593,110945
2,20,0.28644473719967056,0.2833771902131654,91.95155451110465,91.90750716641486,110011
2,21,0.2719765319814418,0.2688758595160113,96.17695703830067,96.159825654483,109077
2,22,0.25843005798720076,0.2553413725320457,100.41221466335571,100.46562380442217,108143
2,23,0.24611993829327278,0.24256397278798247,104.65449274228267,104.73719445082861,107209
2,24,0.23453970106077643,0.23049061354815897,108.83417028626381,109.00102872642114,106275
2,25,0.2235892167013377,0.21893874651559775,112.9975050735844,113.30231579833645,105341
2,26,0.21346169679755633,0.20796238128025205,117.14760807159587,117.60112110489737,104407
2,27,0.2040661166653298,0.1975818554932227,121.26138301861201,121.85385098434969,103473
2,28,0.19513069680812212,0.18788958316285273,125.36052603898004,126.07193953194111,102539
2,29,0.18662899366631938,0.1791303560695514,129.4399624880858,130.23953398945682,101605
2,30,0.178273134937002,0.17114685357538284,133.49968444482263,134.38896393359857,100671
2,31,0.1706392364836841,0.1641183584671679,137.56887528534332,138.52021910277765,99737
2,32,0.16364253678986881,0.15746495532683677,141.6181071281723,142.606963342676,98803
2,33,0.15698402817684506,0.15110900830753687,145.66757891786648,146.72943860424698,97869
2,34,0.15055871045823122,0.14551692914879716,149.68803862183958,150.8405681597123,96935
2,35,0.14451184441030582,0.1397901612412284,153.70104976462017,154.98381367519295,96001
2,36,0.13860168944683116,0.13474782426510915,157.7105294738356,159.09135785584402,95067
2,37,0.13281739884341642,0.13020756233821745,161.721322995155,163.2019506213544,94133
2,38,0.12774693944642052,0.12602318386290257,165.71520474036657,167.2707224163795,93199
2,39,0.12290430998944529,0.1215832679966936,169.705309048591,171.29850614176496,92265
2,40,0.1184234840285599,0.1175944624919663,173.68836918211994,175.31591315723728,91331
3,1,0.9164505810070307,0.9166423426597277,5.994328165365606,5.979272557034369,126900
3,2,0.8492746257434638,0.8498483002601379,11.258767612686828,11.210516605369076,125966
3,3,0.7901186471045937,0.7910191388850285,16.281023692465208,16.198223127124454,125032
3,4,0.7368395182628461,0.7381710016620614,21.164543479593927,21.049293291748782,124098
3,5,0.6894942793254554,0.6908846475951512,25.841594964358162,25.723067277473408,123164
3,6,0.6458024202299802,0.6470596073379559,30.498757380962083,30.368592930269173,122230
