model,runs,cycle2_error_mean,cycle2_error_std,parameter_count,alpha_mean,beta_mean
Integer propagation,3,0.89235632959402,0.0,1,1.0,2.0
DFSC,3,0.666922013962953,0.0,3,0.37727828454055423,1.5625353212127482
Pure MLP,3,0.3631570001939395,0.007081084437535276,1251,,
DFSC + residual MLP,3,0.36186455340205903,0.008518350879050117,750,0.3986067008918887,1.6791322319635666
