model,runs,tasks,extrapolation_error_mean,extrapolation_error_std,extrapolation_error_median
Exponential,12,4,0.26136293564807145,0.03782584742699483,0.25944851674728464
Stretched exponential,12,4,0.3498332352766882,0.021453350932043796,0.34186142969577255
Fractional Zener / MLSL,12,4,0.40903987730110664,0.030371453671029412,0.40347090870356034
Pure MLP,12,4,0.31071039480689894,0.09399889705092698,0.32920143300145566
MLSL + residual MLP,12,4,0.24807353199713658,0.08621657804830371,0.25743502325169104
