seed,model,budget,updates,train_samples,parameters,learning_rate,train_relative_error,long_time_relative_error,elapsed_seconds
0,FNO1D,1x,90,126,79169,0.002,0.31824518051949635,1.79242836069743,1.7774028000421822
0,FNO1D,2x,180,126,79169,0.002,0.30386758220702054,1.6767483623604587,3.5263259999919683
0,FNO1D,4x,360,126,79169,0.002,0.14373253829940072,2.414869016977298,7.082564600044861
0,DeepONet1D,1x,120,126,35361,0.001,0.4633917895879808,1.6536418914606152,0.791622000047937
0,DeepONet1D,2x,240,126,35361,0.001,0.3758302306329827,1.341122659014563,1.558608900057152
0,DeepONet1D,4x,480,126,35361,0.001,0.32596512895372864,1.2376474534171937,3.13371940003708
1,FNO1D,1x,90,126,79169,0.002,0.332844121530375,2.2301573469347913,1.7462566000176594
1,FNO1D,2x,180,126,79169,0.002,0.2775490960590512,2.2727286360984644,3.4769062999403104
1,FNO1D,4x,360,126,79169,0.002,0.14571086912954262,2.7341058509687914,6.9411335999611765
1,DeepONet1D,1x,120,126,35361,0.001,0.5444086961181787,1.5541288918003617,0.8304558999370784
1,DeepONet1D,2x,240,126,35361,0.001,0.3989483765609183,1.665802672133545,1.6347740999190137
1,DeepONet1D,4x,480,126,35361,0.001,0.30560482317894555,1.6578421446951468,3.275086499983445
2,FNO1D,1x,90,126,79169,0.002,0.3425298584087007,2.4245326936128615,1.7682443000376225
2,FNO1D,2x,180,126,79169,0.002,0.3280277344609651,2.2186422357619406,3.5273317999672145
2,FNO1D,4x,360,126,79169,0.002,0.16775144107441398,3.130716639609022,7.093494800035842
2,DeepONet1D,1x,120,126,35361,0.001,0.6040335135455441,1.570372542677917,0.8455094000091776
2,DeepONet1D,2x,240,126,35361,0.001,0.44072714052716777,1.8215000682098197,1.6461729001021013
2,DeepONet1D,4x,480,126,35361,0.001,0.34194080208666205,1.6104440761978396,3.342122200061567
