model,budget,updates,train_samples,parameters,train_error_mean,long_time_error_mean,long_time_error_std
FNO1D,1x,90,126,79169,0.331206386819524,2.1490394670816944,0.32376543167316635
FNO1D,2x,180,126,79169,0.303148137575679,2.056039744740288,0.3295873165582105
FNO1D,4x,360,126,79169,0.15239828283445245,2.7598971691850367,0.3586200618738045
DeepONet1D,1x,120,126,35361,0.5372779997505678,1.5927144419796313,0.05338613699876928
DeepONet1D,2x,240,126,35361,0.40516858257368965,1.6094751331193091,0.24509224295117327
DeepONet1D,4x,480,126,35361,0.32450358473977875,1.5019778914367266,0.2301403475534385
