alpha,selected_terms,converged,work_budget_switched,adaptive_objective,reference_objective,adaptive_gradient,reference_gradient,objective_relative_error,gradient_relative_error
0.52,126,True,False,0.36775836759852304,0.36775836759852304,-0.15204847058794257,-0.15204847058794257,0.0,0.0
0.5225,126,True,False,0.36737800018510436,0.36737800018510436,-0.1522455654812802,-0.1522455654812802,0.0,0.0
0.525,126,True,False,0.3669971392443067,0.3669971392443067,-0.15244329227789422,-0.15244329227789422,0.0,0.0
0.5275,126,True,False,0.3666157831967432,0.3666157831967432,-0.15264165122334816,-0.15264165122334816,0.0,0.0
0.53,126,True,False,0.3662339304613753,0.3662339304613753,-0.1528406424372406,-0.1528406424372406,0.0,0.0
0.5325,126,True,False,0.3658515794577316,0.3658515794577316,-0.15304026600915677,-0.15304026600915677,0.0,0.0
0.535,126,True,False,0.36546872860453,0.36546872860453,-0.1532405219377324,-0.1532405219377324,0.0,0.0
0.5375,126,True,False,0.36508537632121424,0.36508537632121424,-0.1534414101697621,-0.1534414101697621,0.0,0.0
0.54,126,True,False,0.3647015210268971,0.3647015210268971,-0.15364293055654343,-0.15364293055654343,0.0,0.0
0.5425,126,True,False,0.36431716114170654,0.36431716114170654,-0.1538450828970781,-0.1538450828970781,0.0,0.0
0.545,126,True,False,0.36393229508595565,0.36393229508595565,-0.15404786690533,-0.15404786690533,0.0,0.0
0.5475,126,True,False,0.3635469212810494,0.3635469212810494,-0.15425128221613704,-0.15425128221613704,0.0,0.0
0.55,126,True,False,0.36316103814916895,0.36316103814916895,-0.1544553283854384,-0.1544553283854384,0.0,0.0
0.5525,126,True,False,0.3627746441138567,0.3627746441138567,-0.15466000488595455,-0.15466000488595455,0.0,0.0
0.555,126,True,False,0.3623877376000112,0.3623877376000112,-0.1548653111094609,-0.1548653111094609,0.0,0.0
0.5575,126,True,False,0.3620003170341351,0.3620003170341351,-0.155071246356556,-0.155071246356556,0.0,0.0
0.56,126,True,False,0.36161238084466596,0.36161238084466596,-0.1552778098489398,-0.1552778098489398,0.0,0.0
0.5625,126,True,False,0.36122392746207926,0.36122392746207926,-0.15548500071258786,-0.15548500071258786,0.0,0.0
0.5650000000000001,126,True,False,0.36083495531910337,0.36083495531910337,-0.15569281798343582,-0.15569281798343582,0.0,0.0
0.5675,126,True,False,0.36044546285107426,0.36044546285107426,-0.15590126060283183,-0.15590126060283183,0.0,0.0
0.5700000000000001,126,True,False,0.3600554484958986,0.3600554484958986,-0.15611032741367126,-0.15611032741367126,0.0,0.0
0.5725,126,True,False,0.3596649106948337,0.3596649106948337,-0.15632001716778632,-0.15632001716778632,0.0,0.0
0.575,126,True,False,0.3592738478920716,0.3592738478920716,-0.15653032850798354,-0.15653032850798354,0.0,0.0
0.5775,126,True,False,0.35888225853549144,0.35888225853549144,-0.15674125998100408,-0.15674125998100408,0.0,0.0
0.58,126,True,False,0.35849014107673977,0.35849014107673977,-0.1569528100254729,-0.1569528100254729,0.0,0.0
0.5825,84,True,True,0.35809749397129825,0.35809749397129825,-0.157164976967465,-0.157164976967465,0.0,0.0
0.585,84,True,False,0.35770431567928845,0.35770431567928845,-0.15737775903346574,-0.15737775903346574,0.0,0.0
0.5875,84,True,False,0.3573106046651007,0.3573106046651007,-0.15759115432683757,-0.15759115432683757,0.0,0.0
0.59,84,True,False,0.3569163593982395,0.3569163593982395,-0.1578051608428268,-0.1578051608428268,0.0,0.0
0.5925,84,True,False,0.3565215783533312,0.3565215783533312,-0.1580197764581044,-0.1580197764581044,0.0,0.0
0.595,84,True,False,0.35612626001023856,0.35612626001023856,-0.15823499892246673,-0.15823499892246673,0.0,0.0
0.5975,84,True,False,0.3557304028549631,0.3557304028549631,-0.1584508258717392,-0.1584508258717392,0.0,0.0
0.6,84,True,False,0.3553340053792638,0.3553340053792638,-0.15866725480901778,-0.15866725480901778,0.0,0.0
0.6025,84,True,False,0.3549370660814298,0.3549370660814298,-0.1588842831104671,-0.1588842831104671,0.0,0.0
0.605,84,True,False,0.3545395834665338,0.3545395834665338,-0.15910190802270563,-0.15910190802270563,0.0,0.0
0.6075,84,True,False,0.3541415560465434,0.3541415560465434,-0.15932012665444972,-0.15932012665444972,0.0,0.0
0.61,84,True,False,0.353742982340997,0.353742982340997,-0.15953893597975366,-0.15953893597975366,0.0,0.0
0.6125,84,True,False,0.35334386087705216,0.35334386087705216,-0.1597583328294263,-0.1597583328294263,0.0,0.0
0.615,84,True,False,0.35294419019002166,0.35294419019002166,-0.15997831389319117,-0.15997831389319117,0.0,0.0
0.6175,84,True,False,0.35254396882361966,0.35254396882361966,-0.16019887571059144,-0.16019887571059144,0.0,0.0
0.62,84,True,False,0.35214319533050004,0.35214319533050004,-0.16042001467502587,-0.16042001467502587,0.0,0.0
0.6225,84,True,False,0.3517418682724249,0.3517418682724249,-0.1606417270228917,-0.1606417270228917,0.0,0.0
0.625,84,True,False,0.35133998622082746,0.35133998622082746,-0.1608640088361426,-0.1608640088361426,0.0,0.0
0.6275,84,True,False,0.3509375477570648,0.3509375477570648,-0.16108685603506956,-0.16108685603506956,0.0,0.0
0.63,84,True,False,0.35053455147300544,0.35053455147300544,-0.1613102643779598,-0.1613102643779598,0.0,0.0
0.6325000000000001,84,True,False,0.35013099597124414,0.35013099597124414,-0.16153422945495777,-0.16153422945495777,0.0,0.0
0.635,84,True,False,0.34972687986560264,0.34972687986560264,-0.16175874668459755,-0.16175874668459755,0.0,0.0
0.6375,84,True,False,0.3493222017816513,0.3493222017816513,-0.16198381131303563,-0.16198381131303563,0.0,0.0
0.64,84,True,False,0.34891696035697606,0.34891696035697606,-0.16220941840597902,-0.16220941840597902,0.0,0.0
0.6425,84,True,False,0.3485111542418209,0.3485111542418209,-0.1624355628499643,-0.1624355628499643,0.0,0.0
0.645,84,True,False,0.34810478209935497,0.34810478209935497,-0.16266223934289314,-0.16266223934289314,0.0,0.0
0.6475,84,True,False,0.34769784260629477,0.34769784260629477,-0.16288944239491343,-0.16288944239491343,0.0,0.0
0.65,84,True,False,0.34729033445330915,0.34729033445330915,-0.1631171663219959,-0.1631171663219959,0.0,0.0
0.6525,84,True,False,0.346882256345509,0.346882256345509,-0.16334540524167096,-0.16334540524167096,0.0,0.0
0.655,84,True,False,0.3464736070030152,0.3464736070030152,-0.16357415307092538,-0.16357415307092538,0.0,0.0
0.6575,84,True,False,0.34606438516130683,0.34606438516130683,-0.163803403518898,-0.163803403518898,0.0,0.0
0.66,84,True,False,0.34565458957197964,0.34565458957197964,-0.16403315008633967,-0.16403315008633967,0.0,0.0
