experiment,time_h,depth_m,temperature_k,inflow_1e-5_kg_s,inlet_temperature_k,column_height_m,vwc
1,0.13333333333333333,0.09,297.65,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.12,298.4,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.15,298.4,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.18,298.4,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.21,298.4,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.24,297.9,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.27,301.4,8.33,423.15,0.3,0.0
1,0.13333333333333333,0.3,342.4,8.33,423.15,0.3,0.0
1,0.15,0.03,299.15,8.33,423.15,0.3,0.0
1,0.15,0.06,298.4,8.33,423.15,0.3,0.0
1,0.15,0.09,297.9,8.33,423.15,0.3,0.0
1,0.15,0.12,297.9,8.33,423.15,0.3,0.0
1,0.15,0.15,297.9,8.33,423.15,0.3,0.0
1,0.15,0.18,298.15,8.33,423.15,0.3,0.0
1,0.15,0.21,298.4,8.33,423.15,0.3,0.0
1,0.15,0.24,297.4,8.33,423.15,0.3,0.0
1,0.15,0.27,304.4,8.33,423.15,0.3,0.0
1,0.15,0.3,346.15,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.03,299.4,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.06,298.4,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.09,297.65,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.12,297.65,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.15,298.15,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.18,298.4,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.21,297.9,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.24,298.15,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.27,308.9,8.33,423.15,0.3,0.0
1,0.16666666666666666,0.3,348.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.03,298.9,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.06,298.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.09,297.9,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.12,298.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.15,298.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.18,298.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.21,298.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.24,298.65,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.27,314.15,8.33,423.15,0.3,0.0
1,0.18333333333333332,0.3,349.65,8.33,423.15,0.3,0.0
1,0.2,0.03,298.4,8.33,423.15,0.3,0.0
1,0.2,0.06,298.15,8.33,423.15,0.3,0.0
1,0.2,0.09,298.15,8.33,423.15,0.3,0.0
1,0.2,0.12,298.15,8.33,423.15,0.3,0.0
1,0.2,0.15,298.4,8.33,423.15,0.3,0.0
1,0.2,0.18,298.15,8.33,423.15,0.3,0.0
1,0.2,0.21,298.15,8.33,423.15,0.3,0.0
1,0.2,0.24,299.15,8.33,423.15,0.3,0.0
1,0.2,0.27,319.4,8.33,423.15,0.3,0.0
1,0.2,0.3,350.9,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.03,298.9,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.06,297.9,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.09,297.4,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.12,297.9,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.15,298.15,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.18,298.15,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.21,298.4,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.24,299.65,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.27,324.4,8.33,423.15,0.3,0.0
1,0.21666666666666667,0.3,352.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.03,299.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.06,298.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.09,297.9,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.12,297.65,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.15,298.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.18,298.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.21,298.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.24,300.65,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.27,330.15,8.33,423.15,0.3,0.0
1,0.23333333333333334,0.3,353.4,8.33,423.15,0.3,0.0
1,0.25,0.03,298.9,8.33,423.15,0.3,0.0
1,0.25,0.06,297.9,8.33,423.15,0.3,0.0
1,0.25,0.09,297.4,8.33,423.15,0.3,0.0
1,0.25,0.12,298.15,8.33,423.15,0.3,0.0
1,0.25,0.15,298.4,8.33,423.15,0.3,0.0
1,0.25,0.18,298.15,8.33,423.15,0.3,0.0
1,0.25,0.21,298.15,8.33,423.15,0.3,0.0
